Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,Other,,2023-01-01QQ4,British Columbia,Q4,,01-01-2023,,18319,18319,18319
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ4,Alberta,Q4,,01-01-2023,,178754,178754,178754
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,7437,7437,7437
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,3848,3848,3848
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,86,86,86
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,250,250,250
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,3253,3253,3253
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ4,Alberta,Q4,,01-01-2023,,171317,171317,171317
,Work permit holders only,Work permit holders only,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,105311,105311,105311
,Study permit holders only,,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,43742,43742,43742
,Work and study permit holders,,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,13611,13611,13611
,Other,,2023-01-01QQ4,Alberta,Q4,,01-01-2023,,8653,8653,8653
,"Total, non-permanent residents",,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,14523,14523,14523
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,75,75,75
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,43,43,43
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,7,7,7
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,25,25,25
,"Total, permit holders and their family members",,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,14448,14448,14448
,Work permit holders only,,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,6795,6795,6795
,Study permit holders only,,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,5676,5676,5676
,Work and study permit holders,,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,1337,1337,1337
,Other,,2023-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2023,,640,640,640
,"Total, non-permanent residents",,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,11337,11337,11337
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,23,23,23
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,15,15,15
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,3,3,3
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,5,5,5
,"Total, permit holders and their family members",,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,11314,11314,11314
,Work permit holders only,,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,5978,5978,5978
,Study permit holders only,,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,4204,4204,4204
,Work and study permit holders,,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,809,809,809
,Other,,2023-01-01QQ4,Prince Edward Island,Q4,,01-01-2023,,323,323,323
,"Total, non-permanent residents",,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,51441,51441,51441
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,365,365,365
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,207,207,207
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,4,4,4
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,37,37,37
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,117,117,117
,"Total, permit holders and their family members",,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,51076,51076,51076
,Work permit holders only,,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,24349,24349,24349
,Study permit holders only,,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,15280,15280,15280
,Work and study permit holders,,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,9099,9099,9099
,Other,,2023-01-01QQ4,Nova Scotia,Q4,,01-01-2023,,2348,2348,2348
,"Total, non-permanent residents",,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,33033,33033,33033
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,223,223,223
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,128,128,128
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,7,7,7
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,10,10,10
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,78,78,78
,"Total, permit holders and their family members",,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,32810,32810,32810
,Work permit holders only,,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,16471,16471,16471
,Study permit holders only,,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,9255,9255,9255
,Work and study permit holders,,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,5525,5525,5525
,Other,,2023-01-01QQ4,New Brunswick,Q4,,01-01-2023,,1559,1559,1559
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ4,Quebec,Q4,,01-01-2023,,528034,528034,528034
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2023-01-01QQ4,Quebec,Q4,,01-01-2023,,160651,160651,160651
,"Asylum claimants, protected persons and related groups with work permit only","Asylum claimants, protected persons and related groups with work permit only",2023-01-01QQ4,Quebec,Q4,,01-01-2023,,97593,97593,97593
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Quebec,Q4,,01-01-2023,,531,531,531
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Quebec,Q4,,01-01-2023,,2641,2641,2641
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2023-01-01QQ4,Quebec,Q4,,01-01-2023,,59886,59886,59886
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ4,Quebec,Q4,,01-01-2023,,367383,367383,367383
,Work permit holders only,Work permit holders only,2023-01-01QQ4,Quebec,Q4,,01-01-2023,,225684,225684,225684
,Study permit holders only,Study permit holders only,2023-01-01QQ4,Quebec,Q4,,01-01-2023,,72620,72620,72620
,Work and study permit holders,,2023-01-01QQ4,Quebec,Q4,,01-01-2023,,45341,45341,45341
,Other,,2023-01-01QQ4,Quebec,Q4,,01-01-2023,,23738,23738,23738
,"Total, non-permanent residents","Total, non-permanent residents",2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,67061,67061,67061
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,1548,1548,1548
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,947,947,947
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,19,19,19
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,34,34,34
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,548,548,548
,"Total, permit holders and their family members","Total, permit holders and their family members",2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,65513,65513,65513
,Work permit holders only,,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,36808,36808,36808
,Study permit holders only,,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,19524,19524,19524
,Work and study permit holders,,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,7126,7126,7126
,Other,,2023-01-01QQ4,Manitoba,Q4,,01-01-2023,,2055,2055,2055
,"Total, non-permanent residents",,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,35907,35907,35907
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,270,270,270
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,127,127,127
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,9,9,9
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,9,9,9
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,125,125,125
,"Total, permit holders and their family members",,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,35637,35637,35637
,Work permit holders only,,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,18304,18304,18304
,Study permit holders only,,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,12319,12319,12319
,Work and study permit holders,,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,3276,3276,3276
,Other,,2023-01-01QQ4,Saskatchewan,Q4,,01-01-2023,,1738,1738,1738
,"Total, non-permanent residents",,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,1644,1644,1644
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,3,3,3
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,3,3,3
,"Total, permit holders and their family members",,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,1641,1641,1641
,Work permit holders only,,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,1303,1303,1303
,Study permit holders only,,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,238,238,238
,Work and study permit holders,,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,67,67,67
,Other,,2023-01-01QQ4,Yukon,Q4,,01-01-2023,,33,33,33
,"Total, non-permanent residents",,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,655,655,655
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,5,5,5
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,2,2,2
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,3,3,3
,"Total, permit holders and their family members",,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,650,650,650
,Work permit holders only,,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,564,564,564
,Study permit holders only,,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,48,48,48
,Work and study permit holders,,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,19,19,19
,Other,,2023-01-01QQ4,Northwest Territories,Q4,,01-01-2023,,19,19,19
,"Total, non-permanent residents",,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,179,179,179
,"Total, asylum claimants, protected persons and related groups ",,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,2,2,2
,"Asylum claimants, protected persons and related groups with work permit only",,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,2,2,2
,"Total, permit holders and their family members",,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,177,177,177
,Work permit holders only,,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,152,152,152
,Study permit holders only,,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,6,6,6
,Work and study permit holders,,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,3,3,3
,Other,,2023-01-01QQ4,Nunavat,Q4,,01-01-2023,,16,16,16
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ1,Ontario,Q1,,01-01-2024,,1204736,1204736,1204736
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2024-01-01QQ1,Ontario,Q1,,01-01-2024,,124730,124730,124730
,"Asylum claimants, protected persons and related groups with work permit only","Asylum claimants, protected persons and related groups with work permit only",2024-01-01QQ1,Ontario,Q1,,01-01-2024,,64546,64546,64546
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Ontario,Q1,,01-01-2024,,1670,1670,1670
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Ontario,Q1,,01-01-2024,,4787,4787,4787
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2024-01-01QQ1,Ontario,Q1,,01-01-2024,,53727,53727,53727
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ1,Ontario,Q1,,01-01-2024,,1080006,1080006,1080006
,Work permit holders only,Work permit holders only,2024-01-01QQ1,Ontario,Q1,,01-01-2024,,523138,523138,523138
,Study permit holders only,Study permit holders only,2024-01-01QQ1,Ontario,Q1,,01-01-2024,,335908,335908,335908
,Work and study permit holders,Work and study permit holders,2024-01-01QQ1,Ontario,Q1,,01-01-2024,,182108,182108,182108
,Other,,2024-01-01QQ1,Ontario,Q1,,01-01-2024,,38852,38852,38852
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,475778,475778,475778
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,14939,14939,14939
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,9187,9187,9187
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,170,170,170
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,727,727,727
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,4855,4855,4855
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,460839,460839,460839
,Work permit holders only,Work permit holders only,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,241196,241196,241196
,Study permit holders only,Study permit holders only,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,155415,155415,155415
,Work and study permit holders,,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,45164,45164,45164
,Other,,2024-01-01QQ1,British Columbia,Q1,,01-01-2024,,19064,19064,19064
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ1,Alberta,Q1,,01-01-2024,,197241,197241,197241
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,9531,9531,9531
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,5594,5594,5594
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,82,82,82
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,323,323,323
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,3532,3532,3532
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ1,Alberta,Q1,,01-01-2024,,187710,187710,187710
,Work permit holders only,Work permit holders only,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,116404,116404,116404
,Study permit holders only,,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,46538,46538,46538
,Work and study permit holders,,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,15302,15302,15302
,Other,,2024-01-01QQ1,Alberta,Q1,,01-01-2024,,9466,9466,9466
,"Total, non-permanent residents",,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,14526,14526,14526
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,94,94,94
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,50,50,50
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,2,2,2
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,7,7,7
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,35,35,35
,"Total, permit holders and their family members",,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,14432,14432,14432
,Work permit holders only,,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,6882,6882,6882
,Study permit holders only,,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,5351,5351,5351
,Work and study permit holders,,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,1553,1553,1553
,Other,,2024-01-01QQ1,Newfoundland and Labrador,Q1,,01-01-2024,,646,646,646
,"Total, non-permanent residents",,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,11137,11137,11137
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,32,32,32
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,15,15,15
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,3,3,3
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,4,4,4
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,10,10,10
,"Total, permit holders and their family members",,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,11105,11105,11105
,Work permit holders only,,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,5792,5792,5792
,Study permit holders only,,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,4210,4210,4210
,Work and study permit holders,,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,788,788,788
,Other,,2024-01-01QQ1,Prince Edward Island,Q1,,01-01-2024,,315,315,315
,"Total, non-permanent residents",,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,51865,51865,51865
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,383,383,383
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,231,231,231
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,3,3,3
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,38,38,38
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,111,111,111
,"Total, permit holders and their family members",,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,51482,51482,51482
,Work permit holders only,,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,24107,24107,24107
,Study permit holders only,,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,15159,15159,15159
,Work and study permit holders,,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,9860,9860,9860
,Other,,2024-01-01QQ1,Nova Scotia,Q1,,01-01-2024,,2356,2356,2356
,"Total, non-permanent residents",,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,33814,33814,33814
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,272,272,272
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,164,164,164
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,4,4,4
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,15,15,15
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,89,89,89
,"Total, permit holders and their family members",,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,33542,33542,33542
,Work permit holders only,,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,16764,16764,16764
,Study permit holders only,,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,9075,9075,9075
,Work and study permit holders,,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,6111,6111,6111
,Other,,2024-01-01QQ1,New Brunswick,Q1,,01-01-2024,,1592,1592,1592
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ1,Quebec,Q1,,01-01-2024,,560174,560174,560174
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2024-01-01QQ1,Quebec,Q1,,01-01-2024,,176733,176733,176733
,"Asylum claimants, protected persons and related groups with work permit only","Asylum claimants, protected persons and related groups with work permit only",2024-01-01QQ1,Quebec,Q1,,01-01-2024,,109026,109026,109026
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Quebec,Q1,,01-01-2024,,872,872,872
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Quebec,Q1,,01-01-2024,,3249,3249,3249
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2024-01-01QQ1,Quebec,Q1,,01-01-2024,,63586,63586,63586
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ1,Quebec,Q1,,01-01-2024,,383441,383441,383441
,Work permit holders only,Work permit holders only,2024-01-01QQ1,Quebec,Q1,,01-01-2024,,234466,234466,234466
,Study permit holders only,Study permit holders only,2024-01-01QQ1,Quebec,Q1,,01-01-2024,,74454,74454,74454
,Work and study permit holders,,2024-01-01QQ1,Quebec,Q1,,01-01-2024,,49804,49804,49804
,Other,,2024-01-01QQ1,Quebec,Q1,,01-01-2024,,24717,24717,24717
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,71458,71458,71458
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,1848,1848,1848
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,1124,1124,1124
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,26,26,26
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,55,55,55
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,643,643,643
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,69610,69610,69610
,Work permit holders only,,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,39423,39423,39423
,Study permit holders only,,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,19801,19801,19801
,Work and study permit holders,,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,8198,8198,8198
,Other,,2024-01-01QQ1,Manitoba,Q1,,01-01-2024,,2188,2188,2188
,"Total, non-permanent residents",,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,38481,38481,38481
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,323,323,323
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,177,177,177
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,13,13,13
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,11,11,11
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,122,122,122
,"Total, permit holders and their family members",,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,38158,38158,38158
,Work permit holders only,,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,19376,19376,19376
,Study permit holders only,,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,13131,13131,13131
,Work and study permit holders,,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,3804,3804,3804
,Other,,2024-01-01QQ1,Saskatchewan,Q1,,01-01-2024,,1847,1847,1847
,"Total, non-permanent residents",,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,1688,1688,1688
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,3,3,3
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,3,3,3
,"Total, permit holders and their family members",,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,1685,1685,1685
,Work permit holders only,,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,1338,1338,1338
