Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,Work and study permit holders,,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,56,56,56
,Other,,2021-01-01QQ3,Yukon,Q3,,01-01-2021,,17,17,17
,"Total, non-permanent residents",,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,390,390,390
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,0,0,0
,"Total, permit holders and their family members",,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,390,390,390
,Work permit holders only,,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,335,335,335
,Study permit holders only,,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,27,27,27
,Work and study permit holders,,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,19,19,19
,Other,,2021-01-01QQ3,Northwest Territories,Q3,,01-01-2021,,9,9,9
,"Total, non-permanent residents",,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,100,100,100
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,2,2,2
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,2,2,2
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,0,0,0
,"Total, permit holders and their family members",,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,98,98,98
,Work permit holders only,,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,72,72,72
,Study permit holders only,,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,5,5,5
,Work and study permit holders,,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,10,10,10
,Other,,2021-01-01QQ3,Nunavat,Q3,,01-01-2021,,11,11,11
,"Total, non-permanent residents","Total, non-permanent residents",2021-01-01QQ4,Ontario,Q4,,01-01-2021,,616806,616806,616806
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2021-01-01QQ4,Ontario,Q4,,01-01-2021,,67149,67149,67149
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Ontario,Q4,,01-01-2021,,33831,33831,33831
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Ontario,Q4,,01-01-2021,,629,629,629
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Ontario,Q4,,01-01-2021,,1578,1578,1578
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Ontario,Q4,,01-01-2021,,31111,31111,31111
,"Total, permit holders and their family members","Total, permit holders and their family members",2021-01-01QQ4,Ontario,Q4,,01-01-2021,,549657,549657,549657
,Work permit holders only,Work permit holders only,2021-01-01QQ4,Ontario,Q4,,01-01-2021,,252282,252282,252282
,Study permit holders only,Study permit holders only,2021-01-01QQ4,Ontario,Q4,,01-01-2021,,188117,188117,188117
,Work and study permit holders,Work and study permit holders,2021-01-01QQ4,Ontario,Q4,,01-01-2021,,88714,88714,88714
,Other,,2021-01-01QQ4,Ontario,Q4,,01-01-2021,,20544,20544,20544
,"Total, non-permanent residents","Total, non-permanent residents",2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,263009,263009,263009
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,8213,8213,8213
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,4417,4417,4417
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,189,189,189
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,235,235,235
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,3372,3372,3372
,"Total, permit holders and their family members","Total, permit holders and their family members",2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,254796,254796,254796
,Work permit holders only,Work permit holders only,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,112099,112099,112099
,Study permit holders only,Study permit holders only,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,106801,106801,106801
,Work and study permit holders,,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,25729,25729,25729
,Other,,2021-01-01QQ4,British Columbia,Q4,,01-01-2021,,10167,10167,10167
,"Total, non-permanent residents","Total, non-permanent residents",2021-01-01QQ4,Alberta,Q4,,01-01-2021,,80386,80386,80386
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,4118,4118,4118
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,2389,2389,2389
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,34,34,34
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,95,95,95
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,1600,1600,1600
,"Total, permit holders and their family members","Total, permit holders and their family members",2021-01-01QQ4,Alberta,Q4,,01-01-2021,,76268,76268,76268
,Work permit holders only,,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,40341,40341,40341
,Study permit holders only,,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,25970,25970,25970
,Work and study permit holders,,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,6219,6219,6219
,Other,,2021-01-01QQ4,Alberta,Q4,,01-01-2021,,3738,3738,3738
,"Total, non-permanent residents",,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,7889,7889,7889
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,63,63,63
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,25,25,25
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,2,2,2
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,3,3,3
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,33,33,33
,"Total, permit holders and their family members",,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,7826,7826,7826
,Work permit holders only,,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,2736,2736,2736
,Study permit holders only,,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,3870,3870,3870
,Work and study permit holders,,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,910,910,910
,Other,,2021-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2021,,310,310,310
,"Total, non-permanent residents",,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,8036,8036,8036
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,16,16,16
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,5,5,5
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,2,2,2
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,9,9,9
,"Total, permit holders and their family members",,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,8020,8020,8020
,Work permit holders only,,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,4151,4151,4151
,Study permit holders only,,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,3200,3200,3200
,Work and study permit holders,,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,438,438,438
,Other,,2021-01-01QQ4,Prince Edward Island,Q4,,01-01-2021,,231,231,231
,"Total, non-permanent residents",,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,29194,29194,29194
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,266,266,266
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,157,157,157
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,7,7,7
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,19,19,19
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,83,83,83
,"Total, permit holders and their family members",,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,28928,28928,28928
,Work permit holders only,,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,12724,12724,12724
,Study permit holders only,,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,11270,11270,11270
,Work and study permit holders,,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,3597,3597,3597
,Other,,2021-01-01QQ4,Nova Scotia,Q4,,01-01-2021,,1337,1337,1337
,"Total, non-permanent residents",,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,15460,15460,15460
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,141,141,141
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,80,80,80
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,1,1,1
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,60,60,60
,"Total, permit holders and their family members",,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,15319,15319,15319
,Work permit holders only,,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,7455,7455,7455
,Study permit holders only,,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,4954,4954,4954
,Work and study permit holders,,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,2183,2183,2183
,Other,,2021-01-01QQ4,New Brunswick,Q4,,01-01-2021,,727,727,727
,"Total, non-permanent residents","Total, non-permanent residents",2021-01-01QQ4,Quebec,Q4,,01-01-2021,,297063,297063,297063
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2021-01-01QQ4,Quebec,Q4,,01-01-2021,,78950,78950,78950
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Quebec,Q4,,01-01-2021,,46778,46778,46778
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Quebec,Q4,,01-01-2021,,364,364,364
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Quebec,Q4,,01-01-2021,,1444,1444,1444
